,payment_type,year,rides
0,Cash,2022,2073691
1,Credit Card,2017,11069263
2,Prcard,2022,587015
3,Dispute,2013,21222
4,Pcard,2017,5652
5,Mobile,2017,14208
6,Credit Card,2016,13774278
7,Cash,2023,259101
8,Unknown,2016,37731
9,Dispute,2016,11951
10,Unknown,2018,55471
11,No Charge,2019,32576
12,Split,2017,2014
13,Prcard,2020,239639
14,No Charge,2021,2407
15,Prepaid,2021,4
16,Cash,2015,18352681
17,Credit Card,2015,13829042
18,Credit Card,2014,13301197
19,Dispute,2014,12118
20,Pcard,2015,6374
21,Dispute,2015,10044
22,Unknown,2013,91911
23,Mobile,2023,135344
24,Mobile,2018,116711
25,No Charge,2017,59400
26,No Charge,2018,36791
27,Prepaid,2017,35
28,Prepaid,2020,174
29,Pcard,2019,526
30,Cash,2017,13741223
31,Mobile,2022,926589
32,Dispute,2022,3291
33,Unknown,2022,307443
34,Dispute,2018,6737
35,Dispute,2019,6772
36,Split,2018,1428
37,Prcard,2019,154762
38,Cash,2020,1894992
39,Credit Card,2020,1509349
40,Mobile,2020,63992
41,Mobile,2021,274176
42,Cash,2014,23869771
43,Credit Card,2022,2480885
44,Unknown,2014,48886
45,No Charge,2022,3149
46,Prcard,2015,2294
47,Prcard,2018,60928
48,No Charge,2016,98850
49,Pcard,2016,5403
50,Credit Card,2021,1294674
51,Prcard,2021,441580
52,Cash,2021,1598282
53,No Charge,2020,4949
54,Prepaid,2019,622
55,No Charge,2014,154683
56,No Charge,2013,287740
57,Unknown,2023,54158
58,Dispute,2023,209
59,Dispute,2017,9007
60,Pcard,2018,4295
61,Dispute,2021,2969
62,Prepaid,2022,8
63,Cash,2013,18708574
64,Credit Card,2013,8099371
65,Prcard,2023,113560
66,No Charge,2023,480
67,Prcard,2014,1751
68,Cash,2019,8086401
69,Credit Card,2019,7854492
70,Cash,2018,10763641
71,Unknown,2017,35212
72,Unknown,2019,110821
73,Way2ride,2016,142
74,Mobile,2019,229468
75,Unknown,2020,173251
76,No Charge,2015,140011
77,Cash,2016,17817335
78,Unknown,2015,45081
79,Prcard,2017,43597
80,Pcard,2014,6673
81,Credit Card,2023,298355
82,Credit Card,2018,9684133
83,Prcard,2016,10713
84,Pcard,2013,7951
85,Prepaid,2018,970
86,Unknown,2021,333585
87,Dispute,2020,2485
88,Prcard,2013,531
